date,symbol,mean_change_pct,max_high_price,min_low_price,median_volume
2021-02-09,AIA,0.3008,8.9400,4.1700,571341
2021-02-10,AIA,-1.3493,8.9400,4.1700,571341
2021-02-11,AIA,-1.9757,8.9400,4.1700,571341
2021-02-14,AIA,-1.7054,8.9400,4.1700,571341
2021-02-15,AIA,2.5237,8.9400,4.1700,571341
2021-02-16,AIA,-0.3077,8.9400,4.1700,571341
2021-02-17,AIA,-2.0062,8.9400,4.1700,571341
2021-02-18,AIA,-1.2598,8.9400,4.1700,571341
2021-02-21,AIA,1.2759,8.9400,4.1700,571341
2021-02-22,AIA,3.9370,8.9400,4.1700,571341
2021-02-23,AIA,4.0909,8.9400,4.1700,571341
2021-02-24,AIA,0.5822,8.9400,4.1700,571341
2021-02-25,AIA,1.8813,8.9400,4.1700,571341
2021-02-28,AIA,1.7045,8.9400,4.1700,571341
2021-03-01,AIA,-3.6313,8.9400,4.1700,571341
2021-03-02,AIA,-1.3043,8.9400,4.1700,571341
2021-03-03,AIA,-2.3495,8.9400,4.1700,571341
2021-03-04,AIA,0.0000,8.9400,4.1700,571341
2021-03-07,AIA,-1.2030,8.9400,4.1700,571341
2021-03-08,AIA,-0.7610,8.9400,4.1700,571341
2021-03-09,AIA,1.2270,8.9400,4.1700,571341
2021-03-10,AIA,1.0606,8.9400,4.1700,571341
2021-03-11,AIA,4.0480,8.9400,4.1700,571341
2021-03-14,AIA,2.8818,8.9400,4.1700,571341
2021-03-15,AIA,0.8403,8.9400,4.1700,571341
2021-03-16,AIA,0.1389,8.9400,4.1700,571341
2021-03-17,AIA,-0.2774,8.9400,4.1700,571341
2021-03-18,AIA,-2.2253,8.9400,4.1700,571341
2021-03-21,AIA,0.4267,8.9400,4.1700,571341
2021-03-22,AIA,-1.4164,8.9400,4.1700,571341
2021-03-23,AIA,-1.4368,8.9400,4.1700,571341
2021-03-24,AIA,1.1662,8.9400,4.1700,571341
2021-03-25,AIA,-3.1700,8.9400,4.1700,571341
2021-03-28,AIA,0.2976,8.9400,4.1700,571341
2021-03-29,AIA,2.8190,8.9400,4.1700,571341
2021-03-30,AIA,2.3088,8.9400,4.1700,571341
2021-03-31,AIA,-0.2821,8.9400,4.1700,571341
2021-04-06,AIA,1.1315,8.9400,4.1700,571341
2021-04-07,AIA,0.0000,8.9400,4.1700,571341
2021-04-08,AIA,-0.6993,8.9400,4.1700,571341
2021-04-09,AIA,0.0000,8.9400,4.1700,571341
2021-04-12,AIA,0.5634,8.9400,4.1700,571341
2021-04-13,AIA,-1.1204,8.9400,4.1700,571341
2021-04-14,AIA,0.4249,8.9400,4.1700,571341
2021-04-15,AIA,-1.5515,8.9400,4.1700,571341
2021-04-16,AIA,-0.8596,8.9400,4.1700,571341
2021-04-19,AIA,2.3121,8.9400,4.1700,571341
2021-04-20,AIA,-0.4237,8.9400,4.1700,571341
2021-04-21,AIA,-0.2837,8.9400,4.1700,571341
2021-04-22,AIA,0.1422,8.9400,4.1700,571341
2021-04-23,AIA,-1.4205,8.9400,4.1700,571341
2021-04-26,AIA,-1.0086,8.9400,4.1700,571341
2021-04-27,AIA,-0.7278,8.9400,4.1700,571341
2021-04-28,AIA,0.2933,8.9400,4.1700,571341
2021-04-29,AIA,2.1930,8.9400,4.1700,571341
2021-04-30,AIA,1.7167,8.9400,4.1700,571341
2021-05-03,AIA,-1.1252,8.9400,4.1700,571341
2021-05-04,AIA,1.5647,8.9400,4.1700,571341
2021-05-05,AIA,0.4202,8.9400,4.1700,571341
2021-05-06,AIA,-1.6736,8.9400,4.1700,571341
2021-05-07,AIA,-0.5674,8.9400,4.1700,571341
2021-05-10,AIA,0.2853,8.9400,4.1700,571341
2021-05-11,AIA,0.8535,8.9400,4.1700,571341
2021-05-12,AIA,0.9873,8.9400,4.1700,571341
2021-05-13,AIA,-4.0503,8.9400,4.1700,571341
2021-05-14,AIA,-0.2911,8.9400,4.1700,571341
2021-05-17,AIA,0.8759,8.9400,4.1700,571341
2021-05-18,AIA,0.4342,8.9400,4.1700,571341
2021-05-19,AIA,-1.8732,8.9400,4.1700,571341
2021-05-20,AIA,2.2026,8.9400,4.1700,571341
2021-05-21,AIA,-0.7184,8.9400,4.1700,571341
2021-05-24,AIA,-2.0260,8.9400,4.1700,571341
2021-05-25,AIA,0.5908,8.9400,4.1700,571341
2021-05-26,AIA,-1.9090,8.9400,4.1700,571341
2021-05-27,AIA,0.2994,8.9400,4.1700,571341
2021-05-28,AIA,1.7910,8.9400,4.1700,571341
2021-05-31,AIA,0.4399,8.9400,4.1700,571341
2021-06-01,AIA,0.8759,8.9400,4.1700,571341
2020-01-01,ALL,,42.1000,14.8100,1695955
2020-01-02,ALL,-1.1696,42.1000,14.8100,1695955
2020-01-05,ALL,1.3609,42.1000,14.8100,1695955
2020-01-06,ALL,0.2627,42.1000,14.8100,1695955
2020-01-07,ALL,-0.4367,42.1000,14.8100,1695955
2020-01-08,ALL,2.3977,42.1000,14.8100,1695955
2020-01-09,ALL,0.8852,42.1000,14.8100,1695955
2020-01-12,ALL,0.9341,42.1000,14.8100,1695955
2020-01-13,ALL,0.0280,42.1000,14.8100,1695955
2020-01-14,ALL,0.9251,42.1000,14.8100,1695955
2020-01-15,ALL,2.3333,42.1000,14.8100,1695955
2020-01-16,ALL,0.3800,42.1000,14.8100,1695955
2020-01-19,ALL,-0.0270,42.1000,14.8100,1695955
2020-01-20,ALL,-1.2172,42.1000,14.8100,1695955
2020-01-21,ALL,1.5334,42.1000,14.8100,1695955
2020-01-22,ALL,-0.4854,42.1000,14.8100,1695955
2020-01-23,ALL,-0.7046,42.1000,14.8100,1695955
2020-01-27,ALL,-2.5382,42.1000,14.8100,1695955
2020-01-28,ALL,0.0840,42.1000,14.8100,1695955
2020-01-29,ALL,0.0839,42.1000,14.8100,1695955
2020-01-30,ALL,1.2021,42.1000,14.8100,1695955
2020-02-02,ALL,-1.6851,42.1000,14.8100,1695955
2020-02-03,ALL,1.6859,42.1000,14.8100,1695955
2020-02-04,ALL,1.7961,42.1000,14.8100,1695955
2020-02-05,ALL,1.1401,42.1000,14.8100,1695955
2020-02-06,ALL,-1.7982,42.1000,14.8100,1695955
2020-02-09,ALL,0.1640,42.1000,14.8100,1695955
2020-02-10,ALL,0.8186,42.1000,14.8100,1695955
2020-02-11,ALL,0.6225,42.1000,14.8100,1695955
2020-02-12,ALL,0.6993,42.1000,14.8100,1695955
2020-02-13,ALL,-0.7746,42.1000,14.8100,1695955
2020-02-16,ALL,-0.2692,42.1000,14.8100,1695955
2020-02-17,ALL,-1.2146,42.1000,14.8100,1695955
2020-02-18,ALL,2.1038,42.1000,14.8100,1695955
2020-02-19,ALL,0.8563,42.1000,14.8100,1695955
2020-02-20,ALL,-0.6898,42.1000,14.8100,1695955
2020-02-23,ALL,-2.2709,42.1000,14.8100,1695955
2020-02-24,ALL,-1.6129,42.1000,14.8100,1695955
2020-02-25,ALL,-2.6952,42.1000,14.8100,1695955
2020-02-26,ALL,-3.6265,42.1000,14.8100,1695955
2020-02-27,ALL,-1.8963,42.1000,14.8100,1695955
2020-03-01,ALL,-2.2350,42.1000,14.8100,1695955
2020-03-02,ALL,3.6145,42.1000,14.8100,1695955
2020-03-03,ALL,-0.8050,42.1000,14.8100,1695955
2020-03-04,ALL,1.2925,42.1000,14.8100,1695955
2020-03-05,ALL,-5.2819,42.1000,14.8100,1695955
2020-03-08,ALL,-9.7431,42.1000,14.8100,1695955
2020-03-09,ALL,3.7834,42.1000,14.8100,1695955
2020-03-10,ALL,-3.0100,42.1000,14.8100,1695955
2020-03-11,ALL,-11.5862,42.1000,14.8100,1695955
2020-03-12,ALL,8.8534,42.1000,14.8100,1695955
2020-03-15,ALL,-20.3153,42.1000,14.8100,1695955
2020-03-16,ALL,-4.1367,42.1000,14.8100,1695955
2020-03-17,ALL,-10.8349,42.1000,14.8100,1695955
2020-03-18,ALL,-5.3130,42.1000,14.8100,1695955
2020-03-19,ALL,-2.5556,42.1000,14.8100,1695955
2020-03-22,ALL,-11.9726,42.1000,14.8100,1695955
2020-03-23,ALL,10.6865,42.1000,14.8100,1695955
2020-03-24,ALL,22.2352,42.1000,14.8100,1695955
